,open,high,low,close,adjclose,volume,ticker
2017-08-24,422.6499938964844,426.5,421.1499938964844,422.8999938964844,413.944580078125,379407.0,ICICIPRULI.NS
2017-08-28,423.0,435.0,423.0,431.5,422.36248779296875,980309.0,ICICIPRULI.NS
2017-08-29,429.5,430.0,423.0,424.29998779296875,415.3149108886719,524868.0,ICICIPRULI.NS
2017-08-30,425.45001220703125,429.3500061035156,425.45001220703125,426.95001220703125,417.9088134765625,561200.0,ICICIPRULI.NS
2017-08-31,426.04998779296875,432.54998779296875,425.1499938964844,426.8999938964844,417.85986328125,628693.0,ICICIPRULI.NS
2017-09-01,429.8999938964844,445.95001220703125,427.3999938964844,443.3500061035156,433.9615478515625,2103374.0,ICICIPRULI.NS
2017-09-04,445.5,447.79998779296875,434.45001220703125,440.70001220703125,431.3676452636719,893650.0,ICICIPRULI.NS
2017-09-05,441.8500061035156,447.0,438.0,446.20001220703125,436.75115966796875,1166748.0,ICICIPRULI.NS
2017-09-06,445.5,446.0,440.1000061035156,441.20001220703125,431.8570251464844,1543588.0,ICICIPRULI.NS
2017-09-07,442.75,451.25,437.5,439.3500061035156,430.0462341308594,990061.0,ICICIPRULI.NS
2017-09-08,441.0,443.6000061035156,435.04998779296875,437.6000061035156,428.333251953125,340738.0,ICICIPRULI.NS
2017-09-11,441.79998779296875,443.0,436.1000061035156,437.1499938964844,427.89276123046875,338764.0,ICICIPRULI.NS
2017-09-12,438.1000061035156,439.75,430.1000061035156,431.54998779296875,422.4113464355469,655806.0,ICICIPRULI.NS
2017-09-13,433.5,438.0,426.3999938964844,427.29998779296875,418.2513732910156,637665.0,ICICIPRULI.NS
